PORT,STATE,SERVICE,BANNER

Summary
Open ports: 6
Closed ports: 1018
Filtered ports: 0
ULL
938,CLOSED,---,NULL
940,CLOSED,---,NULL
941,CLOSED,---,NULL
944,CLOSED,---,NULL
945,CLOSED,---,NULL
955,CLOSED,---,NULL
946,CLOSED,---,NULL
948,CLOSED,---,NULL
951,CLOSED,---,NULL
952,CLOSED,---,NULL
959,CLOSED,---,NULL
953,CLOSED,---,NULL
963,CLOSED,---,NULL
956,CLOSED,---,NULL
957,CLOSED,---,NULL
969,CLOSED,---,NULL
958,CLOSED,---,NULL
960,CLOSED,---,NULL
961,CLOSED,---,NULL
970,CLOSED,---,NULL
972,CLOSED,---,NULL
962,CLOSED,---,NULL
964,CLOSED,---,NULL
965,CLOSED,---,NULL
975,CLOSED,---,NULL
978,CLOSED,---,NULL
979,CLOSED,---,NULL
980,CLOSED,---,NULL
981,CLOSED,---,NULL
983,CLOSED,---,NULL
966,CLOSED,---,NULL
967,CLOSED,---,NULL
984,CLOSED,---,NULL
985,CLOSED,---,NULL
968,CLOSED,---,NULL
971,CLOSED,---,NULL
973,CLOSED,---,NULL
974,CLOSED,---,NULL
976,CLOSED,---,NULL
